balance,zero_activity_freq,cumulativeincome,lag_balance,lag_cumulativeincome,rolling_mean_balance,rolling_mean_cumulativeincome,rolling_std_cumulativeincome,balance_error_flag,has_trigger
-0.02397422190727561,-0.057955835469708714,-0.0030664287252696342,-0.028294931470129698,-0.00201306931737546,-0.020118160971045185,-0.0006941683365730422,-0.018665609783521938,-0.09322927915974712,-0.04600681652201313
-0.022609784916670643,-0.07459094051466308,-0.004200460037505228,-0.029522373931429414,0.0012922133020262794,-0.02062970457566578,0.0019301989545469367,-0.02046862996030768,-0.09805327324908322,-0.04294939803643626
-0.022948954361851133,-0.07199490107160812,-0.004051726839422226,-0.02502415290224664,-0.0007784185260175178,-0.02398325815254869,0.0012374138647719968,-0.02045633808097928,-0.09440691281921527,-0.04747772159318035
-0.02324065089818314,-0.06017031679289723,-0.005526107998776947,-0.0248091915111484,-0.0016634995304444637,-0.02170897244164355,-4.8508453217743774e-05,-0.02005078131187947,-0.08630492963200145,0.5534719747971739
-0.024291835379502528,-0.057673640741351444,-0.004249875371257509,-0.02876491899703369,-0.0012773233195905972,-0.018189131278164454,0.001560191684720047,-0.022668826298022873,-0.0955504286495882,-0.045500679931670694
-0.02441962352246468,-0.05962674507978538,-0.004454500497363814,-0.026596960766374092,-0.00041926065650671474,-0.020444862975670296,-0.0006074529141204974,-0.018488545872170907,-0.09546390197082678,-0.04639984426258662
-0.02269511980751424,-0.05581904089725867,-0.00300378644201614,-0.02918132626582925,0.0005417298878717114,-0.020769870565794737,-0.0016780902678500942,-0.021643664644678488,-0.09658658462014216,-0.046363379720046144
-0.02225487915384318,-0.06024684271464135,-0.001772991794228992,-0.025621067165575162,-0.000847667013097594,-0.02339471922491103,0.001810837303460433,-0.02359373860898216,-0.09471364361065607,-0.04685129422503108
-0.023492447529146403,-0.05683291698429226,-0.0002757358936406823,-0.032417788523953266,-0.0015926571606876094,-0.021657841761248173,0.0013980435445868356,-0.020855193148529898,-0.09482494443308905,-0.04715945069575013
-0.022606306907261415,-0.05724571323755889,-0.002879754885085426,-0.031101651661058344,-0.002528363470515733,-0.020790508271165603,0.0006580597676812405,-0.01997639834482932,-0.09655189669918654,-0.04486775723798814
-0.022475819919887025,-0.07304389963542578,-0.003942811642665055,-0.027655763400592694,-0.0001444196170016232,-0.020673447424577735,-0.0013674219333214596,-0.021304959666441567,-0.09631410704244028,-0.04672235654260042
-0.022442069899560067,-0.0716418475443868,-0.0049656721481791954,-0.029704857817616993,-0.002135358868446513,-0.02046959490573481,-0.0036724618669653525,-0.01696906064559155,-0.0964101030171452,-0.045304676805345896
-0.023278566216976958,-0.07191701036185671,-0.0032052114869292295,-0.027446459868582438,-0.0005098934418230689,-0.021578185532580948,-0.00047041064113867437,-0.021497848376283595,-0.09647850444292115,-0.047424247879440155
-0.025288753798369392,-0.06066247079840352,-0.00641872406047577,-0.024009052469735302,-0.0013990822260042505,-0.021759243451634845,-0.0001694458256448761,-0.02121047263313109,-0.08613847242080257,0.5545248753469886
-0.02158691175971081,-0.05870252386429284,-0.0036419461468330076,-0.02928484778667948,-0.0017478773596320562,-0.018860211172342385,0.0008689328363817861,-0.022774459352167438,-0.09668449199730603,-0.045253945384121995
-0.02154709038041894,-0.05822638127240847,-0.0036898249583917765,-0.03161032874750431,-0.0017183378332500387,-0.018589328525888137,-0.002281780469565846,-0.019212757796724645,-0.09835936844328959,-0.04244872794548892
-0.014087662576671732,0.05922486438845433,-0.005346258321449743,-0.0264647331809872,-0.0017382092989812114,-0.02304638184930787,1.9651126799136165e-05,-0.01931366603322747,-0.08543571527766596,0.5553365267061015
-0.01612312247670562,11.300408904783236,-0.00527362696697655,-0.01646955923072394,-0.0010101149560704157,-0.01887587288561493,0.0003143103202418729,-0.02203513952682519,-0.08645208202223141,0.5529855278541698
-0.01338663737283395,0.611751850113504,-0.004138523134204708,-0.019559151583782644,-0.000420740523964566,-0.015809753862554312,0.0,-0.025394307348680707,-0.09443660552904073,-0.045867385038167945
-0.01272332644759486,0.14013495342305485,-0.002962587670390738,-0.02052080801795846,-0.000804132520715331,-0.016083788480880514,-0.0019544888312348126,-0.024129884026350593,-0.09593486507714703,-0.04461001527613802
-0.015165612458808661,0.609280043860538,-0.006369527755792643,-0.017369380924872075,-0.0006729870838438763,-0.014556406760736376,-0.0005233744494801407,-0.02509985748834079,-0.08465678137958567,0.5561990690143858
-0.015051769688717099,0.28377001054899675,-0.005248894281304992,-0.01919219762162687,-0.0030937453917862508,-0.011840281510565638,0.0006177746927531202,-0.02309065705211,-0.09088973258316829,-0.04797951747222989
-0.013929470811214827,0.13817709281552923,-0.0024975115977352094,-0.0186037432584008,-0.0014802261047322121,-0.011350793520074901,0.002323201975906561,-0.024161410724049762,-0.09719091603108723,-0.04593495204636178
-0.011818646624136106,0.06287214134606287,-0.00529289282143502,-0.01905785599837115,8.633001365240811e-05,-0.013746238631785979,0.0028380292233643133,-0.01752776028296219,-0.09752554200710559,-0.045016409511998125
-0.008712959257159569,-0.05539341931753045,-0.007022175296686475,-0.024138721600010026,0.001653723607334734,-0.008773847913251705,-0.0008888928836005521,-0.01999669706424145,-0.09968834562558827,-0.042038841190861646
-0.01411483284218763,-0.05672796666586601,-0.002315023673285767,-0.02221590692670276,0.0009345656811813319,-0.010473075521976427,0.002171285429782887,-0.019609042179511288,-0.09743322098476968,-0.04526669912319031
-0.01475374645754727,-0.05692986529186591,-0.0019493063635419511,-0.017331482225137043,0.0,-0.012374084561574739,0.0024416873049462606,-0.020204232098570234,-0.09798622771591307,-0.04600586954422275
-0.010907369660139072,-0.07313079494223483,-0.0032827154596349064,-0.018169204267975102,-0.0019114511602052004,-0.012256665688781795,0.0022002575273699088,-0.019203970799336983,-0.0978312568242356,-0.046308232164857625
-0.011989408352621932,-0.07150707555239026,-0.0039192533558620145,-0.019186022360562247,-0.0020261763620522105,-0.010567448305917316,0.0011938662747587037,-0.01657738600299107,-0.0998426036688659,-0.046390504368244954
-0.009560004527609509,-0.07494200735475083,-0.003204442149458335,-0.021932060138326163,-0.0007998706872189005,-0.01093138788114249,0.00191436913788956,-0.022845306848333698,-0.09585674377152009,-0.04266683828737207
-0.01584920872301184,-0.061735865756019685,0.0003562085687557892,-0.021222148135821534,-0.0013755026524087768,-0.00669355047296789,0.0016338061852571668,-0.02069606028495807,-0.09016967018565267,0.5552547914687352
-0.0153691544863617,-0.0571857913041894,-0.002794725458938033,-0.020003500727797992,-6.052312984794472e-05,-0.01068630220860562,0.0032270082773425248,-0.020663193273298124,-0.09519700034258916,-0.04774515919934055
-0.016567924194755085,-0.05505920877410474,-0.004627753163395778,-0.022983173893575775,0.0005141585147095395,-0.010996302072039185,0.0023877481336716786,-0.019670687574317072,-0.09623252716302357,-0.0433718600003915
-0.01703253551911705,-0.05878341783977068,-0.002915192470045619,-0.01920339198245361,-0.0019522928341945758,-0.010127416845920952,0.0013811909403481093,-0.01827110779429489,-0.09451943409112899,-0.04531338427819643
-0.014112064734253946,-0.057665212783931066,-0.00391040854155538,-0.020207613959929056,-0.0015869994379993002,-0.012970603389558851,0.0026269528054195246,-0.017627674766898898,-0.09634062666017941,-0.04506818669435865
-0.017782422603555764,-0.05783499276740964,-0.0028556464594095975,-0.020859632297271755,-0.0005660400840517173,-0.01107548198108236,0.00106723739243747,-0.018699828756602695,-0.09250830971126482,-0.04586529172782287
-0.011227950423115135,-0.057418049221124264,-0.004557866767502137,-0.019717140049730478,0.0002256706378755413,-0.01029185992576566,0.0020413924896452006,-0.02175560457861575,-0.10024895303943271,-0.044135175069925814
-0.01338267027110709,-0.05963122215636009,-0.00386311561451097,-0.018036759198179708,-0.0015422151403904536,-0.011456930173552822,-0.0015348118222104996,-0.0194321514635453,-0.08739279886333329,0.5541382267009324
