clientid,transactiondate,inflows,outflows,balance,inflow_spike,outflow_spike,client_tenure,cumulativeincome,anomaly_score_pred
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2024-12-02,0.0,0.0,19510904.209436,0,0,-0.380711235254159,0.49450433293378737,27.61779981009259
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2024-12-03,0.0,0.0,19515458.895181,0,0,-0.36492665808185054,0.7804845398280641,28.49544416413982
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2024-12-04,0.0,0.0,19520261.988628,0,0,-0.3491420809095421,1.0820618021481903,27.971751104933485
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2024-12-05,0.0,0.0,19525056.770682,0,0,-0.3333575037372336,1.3831172076327862,26.064361638008016
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2024-12-06,0.0,0.0,19529829.310664,0,0,-0.31757292656492514,1.682776074978763,22.10742287277239
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2024-12-07,0.0,0.0,19534696.512333,0,0,-0.3017883493926166,1.9883785727635555,10.969762760176279
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2024-12-08,0.0,0.0,19539563.263766,0,0,-0.28600377222030815,2.293952801071234,11.06095571199494
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2024-12-09,0.0,19500000.0,39563.454081,0,1,-0.2702191950479997,2.293964750594455,6.625149073083219
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2025-01-27,1499999.0,0.0,3307155.079383,1,0,0.5032250863951158,0.23077329195613727,2.049393281196851
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2025-01-28,0.0,0.0,3307818.050388,0,0,0.5190096635674243,0.27240000251085333,2.148951043065373
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2025-01-29,800000.0,0.0,4108624.391942,1,0,0.5347942407397327,0.32302868193039747,2.5536139671367066
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2025-01-30,999999.0,0.0,5109629.670738,1,0,0.5505788179120412,0.38621104716587296,3.409994663652616
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2025-02-10,999999.0,0.0,3111985.116347,0,0,0.7242091668074345,0.0063714527636795845,2.0428211564464895
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2025-02-11,0.0,0.0,3112579.021909,0,0,0.7399937439797429,0.04366167321036412,2.1194292069512644
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2025-02-12,999999.0,0.0,4113358.214067,0,0,0.7557783211520515,0.09264848091868211,2.552995358272455
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2025-02-13,0.0,0.0,4114166.996054,0,0,0.7715628983243599,0.14343039056602358,2.3790083913907627
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2025-02-14,0.0,0.0,4115011.042635,0,0,0.7873474754966684,0.196426498174055,2.4040690912151046
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2025-02-15,0.0,0.0,4115808.196768,0,0,0.8031320526689769,0.2464783165969235,2.4320945431128744
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2025-02-16,0.0,0.0,4116605.271752,0,0,0.8189166298412853,0.2965251654019824,2.4626766447793043
BE8E6F9E-4D77-EF11-B2FE-005056A80461,2025-02-17,0.0,0.0,4117405.072696,0,0,0.8347012070135938,0.3467431721416237,2.358301488620652
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-11-01,0.0,0.0,5002797.908486,0,0,-1.4698470601434441,-0.051388750775070415,3.088729844846595
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-11-02,0.0,0.0,5004214.202773,0,0,-1.4540624829711355,0.03753772097198135,2.6316517458487456
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-11-03,0.0,0.0,5005630.36957,0,0,-1.438277905798827,0.12645618786016508,2.556854065105318
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-11-04,5000000.0,0.0,10008347.309718,0,0,-1.4224933286265187,0.2970477827901478,3.765598557019878
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-11-05,0.0,0.0,10011102.391818,0,0,-1.40670875145421,0.47003423961291557,4.63903190072532
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-11-06,0.0,0.0,10013830.096077,0,0,-1.3909241742819016,0.6413016929584194,4.840767874564188
BE8FB756-BC96-EF11-B2FF-005056A80461,2024-11-07,0.0,0.0,10016599.329116,0,0,-1.3751395971095932,0.8151766607980911,4.9125100742004655
